record_id,bike_id,bike_type,date,maintenance_type,cost,description
MR5000,BK315,electric,2024-03-03,battery_replacement,143.62,Battery Replacement for bike BK315
MR5001,BK327,classic,2024-01-05,chain_lubrication,112.98,Chain Lubrication for bike BK327
MR5002,BK329,electric,2024-09-24,tire_repair,121.93,Tire Repair for bike BK329
MR5003,BK243,classic,2024-06-20,chain_lubrication,107.54,Chain Lubrication for bike BK243
MR5004,BK320,electric,2024-02-21,battery_replacement,119.0,Battery Replacement for bike BK320
MR5005,BK238,classic,2024-03-19,general_inspection,38.09,General Inspection for bike BK238
MR5006,BK333,electric,2024-02-16,brake_adjustment,149.31,Brake Adjustment for bike BK333
MR5007,BK329,classic,2024-08-27,tire_repair,83.41,Tire Repair for bike BK329
MR5008,BK261,electric,2024-06-21,general_inspection,121.25,General Inspection for bike BK261
MR5009,BK258,electric,2024-10-05,battery_replacement,206.64,Battery Replacement for bike BK258
MR5010,BK265,classic,2024-04-18,general_inspection,146.16,General Inspection for bike BK265
MR5011,BK280,classic,2024-10-21,general_inspection,83.97,General Inspection for bike BK280
MR5012,BK312,electric,2024-06-26,brake_adjustment,83.83,Brake Adjustment for bike BK312
MR5013,BK261,classic,2024-02-28,general_inspection,89.01,General Inspection for bike BK261
MR5014,BK295,electric,2024-10-21,battery_replacement,244.99,Battery Replacement for bike BK295
MR5015,BK330,electric,2024-08-15,battery_replacement,150.84,Battery Replacement for bike BK330
MR5016,BK328,electric,2024-04-16,battery_replacement,92.51,Battery Replacement for bike BK328
MR5017,BK333,electric,2024-06-11,general_inspection,95.84,General Inspection for bike BK333
MR5018,BK261,electric,2024-02-17,chain_lubrication,91.71,Chain Lubrication for bike BK261
MR5019,BK229,electric,2024-06-05,brake_adjustment,57.03,Brake Adjustment for bike BK229
MR5020,BK317,electric,2024-04-27,chain_lubrication,53.43,Chain Lubrication for bike BK317
MR5021,BK312,electric,2024-02-15,battery_replacement,190.75,Battery Replacement for bike BK312
MR5022,BK329,classic,2024-08-27,general_inspection,126.59,General Inspection for bike BK329
MR5023,BK202,electric,2024-04-25,battery_replacement,240.65,Battery Replacement for bike BK202
MR5024,BK346,electric,2024-05-16,general_inspection,62.21,General Inspection for bike BK346
