trip_id,user_id,user_type,bike_id,bike_type,start_station_id,end_station_id,start_time,end_time,duration_minutes,distance_km,status
TR10000,USR1100,member,BK243,classic,ST105,ST106,2024-11-19 16:55:00,2024-11-19 17:01:46,6.8,11.06,completed
TR10001,USR1189,member,BK327,classic,ST100,ST108,2024-05-03 11:15:00,2024-05-03 11:17:00,2.0,9.07,completed
TR10002,USR1162,member,BK283,classic,ST106,ST103,2024-05-07 12:17:00,2024-05-07 13:02:27,45.5,10.3,completed
TR10003,USR1105,member,BK251,electric,ST106,ST111,2024-05-23 21:56:00,2024-05-23 22:14:10,18.2,4.28,nan
TR10004,USR1199,member,BK312,electric,ST108,ST108,2024-04-08 21:15:00,2024-04-08 22:11:51,56.9,13.36,completed
TR10005,USR1171,casual,BK329,classic,ST105,ST107,2024-12-05 08:47:00,2024-12-05 08:49:40,2.7,10.12,completed
TR10006,USR1103,member,BK262,electric,ST103,ST100,2024-03-08 06:13:00,2024-03-08 06:22:50,9.8,11.32,completed
TR10007,USR1081,member,BK291,classic,ST111,ST110,2024-01-22 19:29:00,2024-01-22 20:59:18,90.3,6.2,cancelled
TR10008,USR1135,member,BK328,classic,ST111,ST114,2024-11-12 21:18:00,2024-11-12 21:39:12,21.2,11.64,completed
TR10009,USR1032,member,BK202,classic,ST105,ST102,2024-08-20 10:23:00,2024-08-20 10:33:02,10.0,8.52,completed
TR10010,USR1138,casual,BK229,classic,ST106,ST100,2024-09-12 08:17:00,2024-09-12 08:37:20,20.3,14.07,completed
TR10011,USR1135,casual,BK317,electric,ST106,ST101,2024-05-06 15:01:00,2024-05-06 15:10:44,9.7,12.81,completed
TR10012,USR1145,casual,BK227,electric,ST102,ST101,2024-01-13 12:56:00,2024-01-13 13:20:42,24.7,3.32,completed
TR10013,USR1131,member,BK201,classic,ST111,ST101,2024-11-17 22:51:00,2024-11-17 22:53:00,2.0,4.9,completed
TR10014,USR1122,casual,BK244,electric,ST106,ST103,2024-09-18 18:31:00,2024-09-18 18:49:56,18.9,8.34,completed
TR10015,USR1007,member,BK346,classic,ST113,ST102,2024-05-24 10:25:00,2024-05-24 11:47:11,82.2,12.62,completed
TR10016,USR1061,member,BK251,classic,ST113,ST105,2024-02-17 13:44:00,2024-02-17 13:52:12,8.2,14.35,completed
TR10017,USR1150,member,BK312,classic,ST111,ST109,2024-05-23 10:21:00,2024-05-23 10:23:00,2.0,2.18,completed
TR10018,USR1192,casual,BK261,classic,ST109,ST104,2024-02-08 09:32:00,2024-02-08 09:47:37,15.6,9.92,completed
TR10019,USR1174,casual,BK300,classic,ST109,ST102,2024-04-05 06:55:00,2024-04-05 07:21:52,26.9,2.86,completed
TR10020,USR1105,member,BK262,electric,ST103,ST107,2024-06-26 08:59:00,2024-06-26 09:02:26,3.4,12.26,cancelled
TR10021,USR1156,member,BK283,electric,ST110,ST111,2024-10-11 18:11:00,2024-10-11 18:13:39,2.7,0.76,completed
TR10022,USR1141,casual,BK320,classic,ST109,ST109,2024-03-30 07:50:00,2024-03-30 07:58:16,8.3,2.21,completed
TR10023,USR1014,casual,BK333,classic,ST112,ST108,2024-06-12 15:36:00,2024-06-12 16:10:43,34.7,12.2,nan
TR10024,USR1023,casual,BK261,classic,ST106,ST113,2024-08-11 10:11:00,2024-08-11 10:25:00,14.0,11.39,completed
TR10025,USR1174,member,BK328,classic,ST108,ST105,2024-07-05 22:35:00,2024-07-05 22:37:00,2.0,13.63,completed
TR10026,USR1004,member,BK283,electric,ST102,ST109,2024-05-23 10:34:00,2024-05-23 10:57:03,23.1,8.53,completed
TR10027,USR1141,member,BK333,classic,ST104,ST109,2024-07-04 12:13:00,2024-07-04 12:32:56,19.9,6.9,cancelled
TR10028,USR1081,member,BK346,electric,ST109,ST111,2024-09-09 11:06:00,2024-09-09 11:19:52,13.9,3.73,completed
TR10029,USR1062,casual,BK295,classic,ST105,ST102,2024-05-15 21:44:00,2024-05-15 21:55:34,11.6,12.29,nan
TR10030,USR1062,member,BK285,electric,ST102,ST112,2024-12-29 12:26:00,2024-12-29 12:33:08,7.1,5.29,completed
TR10031,USR1061,member,BK329,classic,ST103,ST111,2024-11-12 14:38:00,2024-11-12 15:12:15,34.3,8.96,nan
TR10032,USR1141,casual,BK329,electric,ST105,ST104,2024-05-13 17:44:00,2024-05-13 19:11:33,87.6,1.13,cancelled
TR10033,USR1034,casual,BK244,classic,ST103,ST108,2024-02-16 14:48:00,2024-02-16 15:17:44,29.7,7.09,completed
TR10034,USR1131,member,BK346,electric,ST109,ST107,2024-12-23 17:23:00,2024-12-23 17:47:11,24.2,4.52,completed
TR10035,USR1052,casual,BK285,classic,ST104,ST108,2024-08-15 22:08:00,2024-08-15 22:17:15,9.3,12.3,completed
TR10036,USR1163,member,BK253,electric,ST101,ST102,2024-09-12 10:46:00,2024-09-12 11:48:53,62.9,1.7,cancelled
TR10037,USR1162,member,BK285,electric,ST101,ST114,2024-06-25 16:20:00,2024-06-25 16:54:36,34.6,6.2,cancelled
TR10038,USR1004,casual,BK283,classic,ST114,ST100,2024-11-06 11:27:00,2024-11-06 11:27:00,41.9,15.0,nan
TR10039,USR1150,member,BK241,electric,ST109,ST102,2024-05-24 19:08:00,2024-05-24 19:11:27,3.5,14.33,completed
TR10040,USR1162,member,BK270,electric,ST111,ST114,2024-03-12 12:25:00,2024-03-12 12:42:14,17.2,7.41,cancelled
TR10041,USR1053,member,BK323,electric,ST113,ST113,2024-09-07 22:47:00,2024-09-07 23:03:21,16.4,6.6,completed
TR10042,USR1122,member,BK328,electric,ST111,ST101,2024-10-20 07:17:00,2024-10-20 07:29:26,12.4,6.84,cancelled
TR10043,USR1043,member,BK235,electric,ST111,ST113,2024-09-03 15:50:00,2024-09-03 16:19:54,29.9,12.05,completed
TR10044,USR1014,member,BK253,classic,ST104,ST101,2024-09-18 07:12:00,2024-09-18 07:17:51,5.9,,completed
TR10045,USR1187,member,BK312,classic,ST107,ST103,2024-12-25 09:55:00,2024-12-25 10:08:15,13.3,13.18,completed
TR10046,USR1138,member,BK302,classic,ST104,ST104,2024-04-01 15:21:00,2024-04-01 15:23:19,2.3,2.25,completed
TR10047,USR1135,casual,BK261,classic,ST110,ST108,2024-10-08 20:56:00,2024-10-08 21:25:06,29.1,7.92,completed
TR10048,USR1136,casual,BK229,electric,ST100,ST102,2024-09-09 20:46:00,2024-09-09 20:57:34,11.6,7.53,completed
TR10049,USR1161,member,BK346,classic,ST110,ST107,2024-01-07 08:46:00,2024-01-07 09:32:31,46.5,11.37,completed
TR10050,USR1135,member,BK274,classic,ST108,ST106,2024-01-28 15:38:00,2024-01-28 15:47:43,9.7,3.57,completed
TR10051,USR1131,member,BK295,classic,ST103,ST109,2024-03-07 14:44:00,2024-03-07 15:00:19,16.3,8.97,completed
TR10052,USR1123,member,BK201,classic,ST108,ST104,2024-01-06 07:58:00,2024-01-06 08:09:00,11.0,14.8,completed
TR10053,USR1153,casual,BK295,classic,ST106,ST103,2024-12-15 16:29:00,2024-12-15 16:33:45,4.8,13.5,completed
TR10054,USR1032,member,BK328,electric,ST105,ST101,2024-08-07 16:03:00,2024-08-07 16:05:00,2.0,14.64,completed
TR10055,USR1013,member,BK300,classic,ST109,ST102,2024-06-21 17:04:00,2024-06-21 17:09:10,5.2,5.19,completed
TR10056,USR1133,member,BK251,electric,ST113,ST105,2024-10-19 16:35:00,2024-10-19 16:44:39,9.7,9.11,completed
TR10057,USR1064,casual,BK253,electric,ST112,ST107,2024-05-09 06:36:00,2024-05-09 06:38:00,2.0,2.19,completed
TR10058,USR1156,member,BK241,classic,ST104,ST113,2024-08-23 19:52:00,2024-08-23 20:24:48,32.8,14.11,completed
TR10059,USR1163,member,BK227,classic,ST112,ST107,2024-09-23 14:36:00,2024-09-23 14:41:37,5.6,2.87,completed
TR10060,USR1187,member,BK280,classic,ST103,ST108,2024-08-24 15:24:00,2024-08-24 15:52:43,28.7,7.05,completed
TR10061,USR1032,member,BK317,classic,ST114,ST114,2024-06-01 22:32:00,2024-06-01 22:44:25,12.4,8.21,completed
TR10062,USR1014,casual,BK320,electric,ST106,ST102,2024-02-11 20:46:00,2024-02-11 21:10:11,24.2,8.24,cancelled
TR10063,USR1064,casual,BK285,classic,ST104,ST110,2024-10-15 09:21:00,2024-10-15 09:52:17,31.3,7.66,completed
TR10064,USR1062,casual,BK323,electric,ST107,ST103,2024-07-02 20:28:00,2024-07-02 20:47:24,19.4,7.55,completed
TR10065,USR1064,casual,BK295,classic,ST103,ST103,2024-10-08 16:26:00,2024-10-08 16:36:36,10.6,3.13,cancelled
TR10066,USR1032,member,BK251,classic,ST113,ST110,2024-08-05 18:39:00,2024-08-05 18:56:37,17.6,9.37,completed
TR10067,USR1032,member,BK320,classic,ST103,ST104,2024-10-19 13:41:00,2024-10-19 14:17:52,36.9,5.93,completed
TR10068,USR1071,casual,BK241,electric,ST110,ST106,2024-09-13 19:36:00,2024-09-13 21:20:43,104.7,12.66,completed
TR10069,USR1039,member,BK312,classic,ST107,ST114,2024-05-28 20:08:00,2024-05-28 20:42:05,34.1,3.48,completed
TR10070,USR1128,casual,BK325,classic,ST109,ST110,2024-10-20 07:06:00,2024-10-20 07:16:39,10.7,11.19,completed
TR10071,USR1047,member,BK327,classic,ST107,ST108,2024-06-28 11:52:00,2024-06-28 12:53:34,61.6,5.75,completed
TR10072,USR1162,casual,BK331,electric,ST106,ST100,2024-03-24 14:48:00,2024-03-24 15:08:22,20.4,12.98,completed
TR10073,USR1007,member,BK227,classic,ST106,ST102,2024-07-29 22:44:00,2024-07-29 22:55:51,11.9,12.63,completed
TR10074,USR1034,member,BK315,classic,ST105,ST111,2024-04-22 11:50:00,2024-04-22 11:54:13,4.2,3.14,cancelled
TR10075,USR1161,casual,BK342,electric,ST101,ST111,2024-03-27 12:28:00,2024-03-27 12:41:06,13.1,8.5,completed
TR10076,USR1138,casual,BK251,electric,ST102,ST102,2024-04-06 20:07:00,2024-04-06 20:09:37,2.6,4.03,completed
TR10077,USR1189,member,BK312,electric,ST105,ST104,2024-08-10 21:17:00,2024-08-10 21:19:00,2.0,1.74,completed
TR10078,USR1103,casual,BK283,classic,ST111,ST101,2024-01-02 06:46:00,2024-01-02 07:10:30,24.5,5.37,cancelled
TR10079,USR1199,casual,BK261,electric,ST104,ST105,2024-09-12 14:33:00,2024-09-12 15:22:20,49.3,3.68,nan
TR10080,USR1189,member,BK317,classic,ST113,ST106,2024-05-07 22:49:00,2024-05-07 22:51:00,2.0,4.4,completed
